WeekEnding,Country,SIMDQuintile,Deaths,Average20152019,PercentVariation
20200105,S92000003,1,283,306.4,-7.6
20200105,S92000003,2,258,290.6,-11.2
20200105,S92000003,3,253,271.4,-6.8
20200105,S92000003,4,212,222.6,-4.8
20200105,S92000003,5,151,181.4,-16.8
20200112,S92000003,1,384,397.8,-3.5
20200112,S92000003,2,360,363.8,-1
20200112,S92000003,3,330,320,3.1
20200112,S92000003,4,281,261.8,7.3
20200112,S92000003,5,204,211,-3.3
20200119,S92000003,1,313,355.8,-12
20200119,S92000003,2,301,318.4,-5.5
20200119,S92000003,3,273,281.8,-3.1
20200119,S92000003,4,251,230.2,9
20200119,S92000003,5,178,192.6,-7.6
20200126,S92000003,1,325,325.6,-0.2
20200126,S92000003,2,262,303.4,-13.6
20200126,S92000003,3,247,271.8,-9.1
20200126,S92000003,4,215,220.8,-2.6
20200126,S92000003,5,172,191.4,-10.1
20200202,S92000003,1,276,312.6,-11.7
20200202,S92000003,2,281,291,-3.4
20200202,S92000003,3,249,263.6,-5.5
20200202,S92000003,4,195,229.8,-15.1
20200202,S92000003,5,184,179.6,2.4
20200209,S92000003,1,294,314,-6.4
20200209,S92000003,2,279,289.6,-3.7
20200209,S92000003,3,234,253.8,-7.8
20200209,S92000003,4,227,211,7.6
20200209,S92000003,5,179,183.6,-2.5
20200216,S92000003,1,263,305.8,-14
20200216,S92000003,2,278,289.6,-4
20200216,S92000003,3,249,263.6,-5.5
20200216,S92000003,4,201,223.2,-9.9
20200216,S92000003,5,169,174.4,-3.1
20200223,S92000003,1,302,307.8,-1.9
20200223,S92000003,2,248,285.4,-13.1
20200223,S92000003,3,229,247.8,-7.6
20200223,S92000003,4,207,222.6,-7
20200223,S92000003,5,174,179.4,-3
20200301,S92000003,1,268,279,-3.9
20200301,S92000003,2,261,263,-0.8
20200301,S92000003,3,246,238.8,3
20200301,S92000003,4,185,213,-13.1
20200301,S92000003,5,204,169,20.7
20200308,S92000003,1,301,306.4,-1.8
20200308,S92000003,2,263,283.4,-7.2
20200308,S92000003,3,238,247.8,-4
20200308,S92000003,4,216,215.2,0.4
20200308,S92000003,5,186,173.8,7
20200315,S92000003,1,310,284.8,8.8
20200315,S92000003,2,283,274,3.3
20200315,S92000003,3,229,248.6,-7.9
20200315,S92000003,4,210,204.8,2.5
20200315,S92000003,5,159,154.8,2.7
20200322,S92000003,1,255,278.2,-8.3
20200322,S92000003,2,276,255.8,7.9
20200322,S92000003,3,272,236.2,15.2
20200322,S92000003,4,221,199.2,10.9
20200322,S92000003,5,168,147.6,13.8
20200329,S92000003,1,239,274,-12.8
20200329,S92000003,2,233,259.4,-10.2
20200329,S92000003,3,234,237.6,-1.5
20200329,S92000003,4,202,189.8,6.4
20200329,S92000003,5,165,154.2,7
20200405,S92000003,1,458,283.4,61.6
20200405,S92000003,2,392,255.4,53.5
20200405,S92000003,3,359,230,56.1
20200405,S92000003,4,289,179,61.5
20200405,S92000003,5,241,148.2,62.6
20200412,S92000003,1,513,271.2,89.2
20200412,S92000003,2,444,249.6,77.9
20200412,S92000003,3,384,225.2,70.5
20200412,S92000003,4,365,199.4,83
20200412,S92000003,5,265,150.6,76
20200419,S92000003,1,494,270.4,82.7
20200419,S92000003,2,428,245.2,74.6
20200419,S92000003,3,383,222.2,72.4
20200419,S92000003,4,315,181.8,73.3
20200419,S92000003,5,286,144.4,98.1
20200426,S92000003,1,495,255,94.1
20200426,S92000003,2,407,239.6,69.9
20200426,S92000003,3,341,242.6,40.6
20200426,S92000003,4,332,194.2,71
20200426,S92000003,5,257,151.2,70
20200503,S92000003,1,433,263.8,64.1
20200503,S92000003,2,372,244,52.5
20200503,S92000003,3,332,222.6,49.1
20200503,S92000003,4,316,189,67.2
20200503,S92000003,5,219,156.6,39.8
20200510,S92000003,1,382,260.4,46.7
20200510,S92000003,2,289,229,26.2
20200510,S92000003,3,269,216.8,24.1
20200510,S92000003,4,277,176.2,57.2
20200510,S92000003,5,215,147.6,45.7
20200517,S92000003,1,354,274.2,29.1
20200517,S92000003,2,312,243.2,28.3
20200517,S92000003,3,298,222.4,34
20200517,S92000003,4,245,175,40
20200517,S92000003,5,209,145,44.1
20200524,S92000003,1,273,255.6,6.8
20200524,S92000003,2,288,240.2,19.9
20200524,S92000003,3,250,212.2,17.8
20200524,S92000003,4,221,181,22.1
20200524,S92000003,5,187,151.2,23.7
20200531,S92000003,1,273,263.8,3.5
20200531,S92000003,2,251,227.6,10.3
20200531,S92000003,3,235,203.6,15.4
20200531,S92000003,4,193,179,7.8
20200531,S92000003,5,172,138.6,24.1
20200607,S92000003,1,259,268.8,-3.6
20200607,S92000003,2,242,241.2,0.3
20200607,S92000003,3,212,216.2,-1.9
20200607,S92000003,4,209,172.2,21.4
20200607,S92000003,5,166,150.2,10.5
20200614,S92000003,1,281,250,12.4
20200614,S92000003,2,224,224.6,-0.3
20200614,S92000003,3,209,206.6,1.2
20200614,S92000003,4,177,166,6.6
20200614,S92000003,5,141,148.4,-5
20200621,S92000003,1,247,257,-3.9
20200621,S92000003,2,258,227.6,13.4
20200621,S92000003,3,221,220.8,0.1
20200621,S92000003,4,180,173.2,3.9
20200621,S92000003,5,159,137.6,15.6
20200628,S92000003,1,261,250,4.4
20200628,S92000003,2,193,225,-14.2
20200628,S92000003,3,195,220.2,-11.4
20200628,S92000003,4,193,178.6,8.1
20200628,S92000003,5,162,147.6,9.8
20200705,S92000003,1,270,253.4,6.6
20200705,S92000003,2,210,237,-11.4
20200705,S92000003,3,183,215.6,-15.1
20200705,S92000003,4,182,171.6,6.1
20200705,S92000003,5,137,135.8,0.9
20200712,S92000003,1,228,249,-8.4
20200712,S92000003,2,214,231.4,-7.5
20200712,S92000003,3,186,217.8,-14.6
20200712,S92000003,4,194,173,12.1
20200712,S92000003,5,141,148.2,-4.9
